挂牌代码,债券全称,上市日期,到期日期,票面利率,UK
122169,12金瑞债,2012/10/29,2017/8/29,7.9,402225840000007f
122172,12中海02,2012/8/21,2022/8/3,5,402225c000000080
122173,12中交01,2012/9/20,2017/8/9,4.4,4022258400000081
122174,12中交02,2012/9/20,2022/8/9,5,402225c000000082
122175,12中交03,2012/9/20,2027/8/9,5.15,402225fc00000083
122176,12中储债,2012/10/29,2019/8/13,5,4022259c00000084
122178,科环02停,2012/9/20,2017/8/20,4.65,4022258400000085
122179,科环03停,2012/9/20,2022/8/20,5.15,402225c000000086
122180,12旋风债,2012/9/20,2017/8/23,6.28,4022258400000087
122181,12山鹰债,2012/9/19,2019/8/22,7.5,4022259c00000088
122182,12九州通,2012/11/1,2017/10/22,5.7,4022258600000089
122183,12集优01,2012/9/28,2017/8/31,5.08,402225840000008a
122184,12一重01,2012/10/18,2017/9/3,5.1,402225850000008b
122186,12力帆02,2012/10/12,2017/9/19,7.5,402225850000008c
122187,12玻纤债,2012/12/26,2019/10/17,5.56,4022259e0000008d
122188,12华新03,2012/12/21,2019/11/9,5.9,4022259f0000008e
122189,12王府01,2012/11/27,2017/10/24,4.94,402225860000008f
122190,12王府02,2012/11/27,2019/10/24,5.2,4022259e00000090
122191,12桂冠01,2012/11/26,2017/10/24,4.8,4022258600000091
122192,12桂冠02,2012/11/26,2022/10/24,5.1,402225c200000092
122193,12中水01,2012/11/26,2019/10/29,5.03,4022259e00000093
122194,12中水02,2012/11/26,2022/10/29,5.2,402225c200000094
122195,12中海03,2012/11/21,2019/10/29,5.05,4022259e00000095
122196,12中海04,2012/11/21,2022/10/29,5.18,402225c200000096
122197,12华天成,2013/3/29,2018/3/13,5.8,4022258b00000097
122199,12能新02,2012/12/3,2017/10/29,5.09,4022258600000098
122200,12晋兰花,2012/12/28,2017/11/7,5.09,4022258700000099
122201,12开滦01,2012/11/14,2019/10/30,5.4,4022259e0000009a
122202,12海螺01,2012/12/4,2017/11/7,4.89,402225870000009b
122203,12海螺02,2012/12/4,2022/11/7,5.1,402225c30000009c
122204,12双良节,2012/12/3,2017/11/12,5.88,402225870000009d
122205,12沪交运,2012/12/7,2017/11/16,5.05,402225870000009e
122207,12骆驼集,2012/12/28,2017/12/5,5.98,402225880000009f
122208,12招金券,2012/12/26,2017/11/16,4.99,40222587000000a0
122209,12中油01,2012/12/4,2017/11/22,4.55,40222587000000a1
122210,12中油02,2012/12/4,2022/11/22,4.9,402225c3000000a2
122211,12中油03,2012/12/4,2027/11/22,5.04,402225ff000000a3
122212,12京江河,2012/12/28,2017/12/7,5.4,40222588000000a4
122213,12松建化,2012/12/17,2019/12/5,6.2,402225a0000000a5
122215,12永泰01,2013/1/10,2017/12/20,5.68,40222588000000a6
122216,12桐昆债,2013/2/8,2018/1/21,5.85,40222589000000a7
122217,12渝水务,2013/3/1,2018/1/29,5.12,40222589000000a8
122218,12国航01,2013/3/4,2023/1/18,5.1,402225c5000000a9
122219,12榕泰债,2013/3/12,2018/1/24,5.9,40222589000000aa
122220,12重工01,2013/3/8,2018/1/25,4.85,40222589000000ab
122221,12重工02,2013/3/8,2020/1/25,5.2,402225a1000000ac
122222,12永泰02,2013/3/1,2018/1/31,6.5,40222589000000ad
122224,12电气02,2013/3/18,2018/2/27,4.9,4022258a000000ae
122225,12一拖01,2013/4/2,2018/3/4,4.8,4022258b000000af
122226,12宝科创,2013/4/11,2018/3/6,5.48,4022258b000000b0
122227,13尖峰01,2013/7/2,2018/6/5,4.9,4022258e000000b1
122228,13天士01,2013/4/15,2018/3/29,4.98,4022258b000000b2
122229,12国控01,2013/4/1,2018/3/13,4.54,4022258b000000b3
122230,12沪海立,2013/4/8,2018/2/28,4.85,4022258a000000b4
122231,12上电债,2013/3/19,2018/3/4,4.55,4022258b000000b5
122232,12招商01,2013/3/15,2018/3/5,4.45,4022258b000000b6
122233,12招商02,2013/3/15,2018/3/5,4.8,4022258b000000b7
122234,12招商03,2013/3/15,2023/3/5,5.15,402225c7000000b8
122235,12芜湖港,2013/5/17,2018/3/20,4.99,4022258b000000b9
122236,12哈电01,2013/5/2,2018/3/11,4.9,4022258b000000ba
122237,12西资源,2013/4/12,2018/3/8,7.5,4022258b000000bb
122239,13中油01,2013/4/15,2018/3/15,4.47,4022258b000000bc
122240,13中油02,2013/4/15,2023/3/15,4.88,402225c7000000bd
122241,12东航01,2013/4/22,2023/3/18,5.05,402225c7000000be
122242,12广汽01,2013/4/9,2018/3/20,4.89,4022258b000000bf
122243,12广汽02,2013/4/9,2023/3/20,5.09,402225c7000000c0
122244,12大唐01,2013/4/17,2023/3/27,5.1,402225c7000000c1
122245,13甬热电,2013/5/22,2020/4/15,5.1,402225a4000000c2
122247,13福新01,2013/5/29,2018/3/25,5,4022258b000000c3
122248,13福新02,2013/5/29,2023/3/25,5.3,402225c7000000c4
122249,13平煤债,2013/5/8,2023/4/17,5.07,402225c8000000c5
122250,13和邦01,2013/5/13,2020/4/22,5.8,402225a4000000c6
122251,13南车01,2013/5/7,2018/4/22,4.7,4022258c000000c7
122252,13南车02,2013/5/7,2023/4/22,5,402225c8000000c8
122253,12一拖02,2013/6/26,2018/5/30,4.5,4022258d000000c9
122254,12拜克01,2013/6/13,2018/5/22,5.3,4022258d000000ca
122255,13赣粤01,2013/5/9,2023/4/19,5.15,402225c8000000cb
122256,13保税债,2013/6/19,2018/5/23,5.5,4022258d000000cc
122257,12岳纸01,2013/6/25,2018/5/29,5.04,4022258d000000cd
122258,13云煤业,2013/12/18,2020/12/3,7.8,402225ac000000ce
122259,13中信01,2013/6/28,2018/6/7,4.65,4022258e000000cf
122260,13中信02,2013/6/28,2023/6/7,5.05,402225ca000000d0
122261,13华泰01,2013/7/17,2018/6/5,4.68,4022258e000000d1
122262,13华泰02,2013/7/17,2023/6/5,5.1,402225ca000000d2
122263,12豫园01,2013/7/4,2018/6/17,5.2,4022258e000000d3
122264,13京客隆,2013/9/5,2018/8/13,5.48,40222590000000d4
122265,13川路桥,2013/9/9,2018/7/26,5.65,4022258f000000d5
122266,13中信03,2013/8/23,2016/8/5,5,40222578000000d6
122267,13永泰债,2013/8/19,2018/8/6,6.8,40222590000000d7
122268,12国航02,2013/9/5,2018/8/16,5.15,40222590000000d8
122269,12国航03,2013/9/5,2023/8/16,5.3,402225cc000000d9
122270,13安信债,2013/8/30,2018/8/19,5.15,40222590000000da
122271,12兖煤03,2014/3/31,2019/3/3,5.92,40222597000000db
122272,12兖煤04,2014/3/31,2024/3/3,6.15,402225d3000000dc
122273,13鲁金01,2013/9/17,2018/9/3,5.16,40222591000000dd
122274,11航民02,2013/10/21,2016/9/16,6.6,40222579000000de
122276,13魏桥01,2013/11/6,2018/10/23,7,40222592000000df
122278,13华域02,2013/12/18,2018/11/18,5.72,40222593000000e0
122279,13外运债,2013/12/3,2016/11/8,5.7,4022257b000000e1
122280,13海通01,2013/12/16,2016/11/25,6.05,4022257b000000e2
122281,13海通02,2013/12/16,2018/11/25,6.15,40222593000000e3
122282,13海通03,2013/12/16,2023/11/25,6.18,402225cf000000e4
122283,13盛屯债,2013/12/26,2018/12/12,8,40222594000000e5
122284,13鲁金02,2015/5/4,2020/3/30,4.8,402225a3000000e6
122285,13杉杉债,2014/3/26,2019/3/7,7.5,40222597000000e7
122286,13中信建,2013/12/12,2016/11/22,6.15,4022257b000000e8
122287,13国投01,2014/4/30,2019/3/21,5.89,40222597000000e9
122288,13东吴债,2013/12/16,2018/11/18,6.18,40222593000000ea
122289,13日照港,2014/3/20,2017/3/3,6.15,4022257f000000eb
122292,13兴业01,2014/4/14,2019/3/13,6,40222597000000ec
122293,13兴业02,2014/4/14,2021/3/13,6.35,402225af000000ed
122294,12鲁创投,2014/4/10,2019/3/25,7.35,40222597000000ee
122295,13川投01,2014/5/15,2019/4/17,6.12,40222598000000ef
122298,13亚盛债,2014/7/7,2019/6/19,6.35,4022259a000000f0
122299,13中原债,2014/5/29,2019/4/23,6.2,40222598000000f1
122301,13楚天01,2014/6/24,2019/5/26,5.88,40222599000000f2
122302,13天房债,2014/5/23,2021/4/25,8.9,402225b0000000f3
122304,13兴业03,2014/7/14,2017/6/23,5.5,40222582000000f4
122305,14鲁高速,2014/8/11,2019/7/11,5.84,4022259b000000f5
122306,13太极01,2014/7/8,2019/6/9,6.25,4022259a000000f6
122308,13杭齿债,2014/8/1,2019/7/11,6.3,4022259b000000f7
122310,13苏新城,2014/8/8,2019/7/23,8.9,4022259b000000f8
122311,13海通04,2014/8/13,2017/7/14,5.25,40222583000000f9
122312,13海通05,2014/8/13,2019/7/14,5.45,4022259b000000fa
122313,13海通06,2014/8/13,2024/7/14,5.85,402225d7000000fb
122315,14东海债,2014/8/29,2019/7/31,5.55,4022259b000000fc
122316,14赣粤01,2014/9/3,2021/8/11,5.74,402225b4000000fd
122317,14赣粤02,2014/9/3,2024/8/11,6.09,402225d8000000fe
122318,14中炬01,2014/10/29,2019/9/23,6.2,4022259d000000ff
122319,13京能02,2014/9/23,2017/8/22,5.14,4022258400000100
122320,14国贸01,2014/9/4,2019/8/20,5.5,4022259c00000101
122321,14银河G1,2015/3/9,2018/2/4,4.65,4022258a00000102
122322,14银河G2,2015/3/9,2020/2/4,4.8,402225a200000103
122323,14凤凰债,2014/9/30,2019/9/12,5.65,4022259d00000104
122324,14国电01,2014/10/20,2017/9/15,5.1,4022258500000105
122326,14广晟债,2014/12/3,2017/9/25,6.5,4022258500000106
122327,13卧龙债,2014/10/23,2019/9/23,9.07,4022259d00000107
122328,12开滦02,2014/10/23,2020/9/26,6.3,402225a900000108
122329,14伊泰01,2014/10/22,2019/10/9,6.99,4022259e00000109
122330,13中企债,2014/10/31,2019/10/14,5.47,4022259e0000010a
122331,14营口港,2014/11/19,2021/10/20,5.6,402225b60000010b
122332,14亿利01,2015/2/16,2020/1/26,6.95,402225a10000010c
122333,14嘉宝债,2014/11/26,2019/10/23,5.5,4022259e0000010d
122334,12大唐02,2014/12/15,2024/11/3,5,402225db0000010e
122335,14爱众01,2014/12/10,2021/10/28,6,402225b60000010f
122336,13牡丹01,2014/12/16,2019/10/29,5.4,4022259e00000110
122337,13魏桥02,2014/11/26,2019/11/7,5.5,4022259f00000111
122338,13金桥债,2014/12/25,2022/11/17,5,402225c300000112
122339,13香江债,2014/12/26,2019/12/10,8.48,402225a000000113
122340,14武控01,2014/12/16,2019/11/5,4.7,4022259f00000114
122341,14连云港,2015/5/20,2020/3/20,4.94,402225a300000115
