期货合约,UK
wr1908,404a259c0000000a
hc1908,404a259c0000000b
fu1908,404a259c0000000c
bu1908,404a259c0000000d
ru1908,404a259c0000000e
cu1909,404a259d00000001
al1909,404a259d00000002
zn1909,404a259d00000003
pb1909,404a259d00000004
ni1909,404a259d00000005
sn1909,404a259d00000006
au1909,404a259d00000007
ag1909,404a259d00000008
rb1909,404a259d00000009
wr1909,404a259d0000000a
hc1909,404a259d0000000b
fu1909,404a259d0000000c
bu1909,404a259d0000000d
ru1909,404a259d0000000e
cu1910,404a259e00000001
al1910,404a259e00000002
zn1910,404a259e00000003
pb1910,404a259e00000004
ni1910,404a259e00000005
sn1910,404a259e00000006
au1910,404a259e00000007
ag1910,404a259e00000008
rb1910,404a259e00000009
wr1910,404a259e0000000a
hc1910,404a259e0000000b
fu1910,404a259e0000000c
bu1910,404a259e0000000d
ru1910,404a259e0000000e
cu1911,404a259f00000001
al1911,404a259f00000002
zn1911,404a259f00000003
pb1911,404a259f00000004
ni1911,404a259f00000005
sn1911,404a259f00000006
au1911,404a259f00000007
ag1911,404a259f00000008
rb1911,404a259f00000009
wr1911,404a259f0000000a
hc1911,404a259f0000000b
fu1911,404a259f0000000c
bu1911,404a259f0000000d
ru1911,404a259f0000000e
cu1912,404a25a000000001
al1912,404a25a000000002
zn1912,404a25a000000003
pb1912,404a25a000000004
ni1912,404a25a000000005
sn1912,404a25a000000006
au1912,404a25a000000007
ag1912,404a25a000000008
rb1912,404a25a000000009
wr1912,404a25a00000000a
hc1912,404a25a00000000b
fu1912,404a25a00000000c
bu1912,404a25a00000000d
ru1912,404a25a00000000e
cu2001,404a25a100000001
al2001,404a25a100000002
zn2001,404a25a100000003
pb2001,404a25a100000004
ni2001,404a25a100000005
sn2001,404a25a100000006
au2001,404a25a100000007
ag2001,404a25a100000008
rb2001,404a25a100000009
wr2001,404a25a10000000a
hc2001,404a25a10000000b
fu2001,404a25a10000000c
bu2001,404a25a10000000d
ru2001,404a25a10000000e
cu2002,404a25a200000001
al2002,404a25a200000002
zn2002,404a25a200000003
pb2002,404a25a200000004
ni2002,404a25a200000005
sn2002,404a25a200000006
au2002,404a25a200000007
ag2002,404a25a200000008
rb2002,404a25a200000009
wr2002,404a25a20000000a
hc2002,404a25a20000000b
fu2002,404a25a20000000c
bu2002,404a25a20000000d
ru2002,404a25a20000000e
cu2003,404a25a300000001
al2003,404a25a300000002
zn2003,404a25a300000003
pb2003,404a25a300000004
ni2003,404a25a300000005
sn2003,404a25a300000006
au2003,404a25a300000007
ag2003,404a25a300000008
rb2003,404a25a300000009
wr2003,404a25a30000000a
hc2003,404a25a30000000b
fu2003,404a25a30000000c
bu2003,404a25a30000000d
ru2003,404a25a30000000e
cu2004,404a25a400000001
al2004,404a25a400000002
zn2004,404a25a400000003
pb2004,404a25a400000004
ni2004,404a25a400000005
sn2004,404a25a400000006
au2004,404a25a400000007
ag2004,404a25a400000008
rb2004,404a25a400000009
wr2004,404a25a40000000a
hc2004,404a25a40000000b
