股份代号,股份名称,买卖单位,UK
887,英皇钟表珠宝,"“10,000”",40a11000000002f4
888,路讯通,"“2,000”",40a11000000002f5
889,连达科技控股,"“2,000”",40a11000000002f6
891,利邦,"“2,000”",40a11000000002f7
893,中国铁钛,"“1,000”",40a11000000002f8
894,万裕科技,"“2,000”",40a11000000002f9
895,东江环保,200,40a11000000002fa
896,兴胜创建,"“2,000”",40a11000000002fb
897,位元堂,"“5,000”",40a11000000002fc
898,万事昌国际,"“2,000”",40a11000000002fd
899,亚洲资源,"“10,000”",40a11000000002fe
900,AEON CREDIT,"“2,000”",40a11000000002ff
902,华能国际电力股份,"“2,000”",40a1100000000300
903,冠捷科技,"“2,000”",40a1100000000301
904,中绿,"“4,000”",40a1100000000302
906,中粮包装,"“1,000”",40a1100000000303
907,高雅光学,"“2,000”",40a1100000000304
908,珠海控股投资,"“2,000”",40a1100000000305
909,中大国际,"“2,000”",40a1100000000306
910,中国三迪,"“12,000”",40a1100000000307
911,恒发洋参,"“10,000”",40a1100000000308
912,信佳国际,"“2,000”",40a1100000000309
914,安徽海螺水泥股份,500,40a110000000030a
915,道和环球,"“10,000”",40a110000000030b
916,龙源电力,"“1,000”",40a110000000030c
917,新世界中国,"“2,000”",40a110000000030d
918,第一德胜控股,"“2,000”",40a110000000030e
919,现代美容,"“4,000”",40a110000000030f
921,海信科龙,"“1,000”",40a1100000000310
922,安贤园中国,"“20,000”",40a1100000000311
923,综合环保集团,"“2,000”",40a1100000000312
925,北京建设,"“2,000”",40a1100000000313
926,碧生源,"“1,000”",40a1100000000314
927,富士高实业,"“2,000”",40a1100000000315
928,野马国际,"“4,000”",40a1100000000316
929,国际精密,"“5,000”",40a1100000000317
930,中国森林,"“2,000”",40a1100000000318
931,中国天然气,"“20,000”",40a1100000000319
932,御药堂,"“4,000”",40a110000000031a
933,光汇石油,"“1,000”",40a110000000031b
934,中石化冠德,"“2,000”",40a110000000031c
935,龙翔集团,"“2,000”",40a110000000031d
936,鹏程亚洲,"“10,000”",40a110000000031e
938,民生国际,"“2,000”",40a110000000031f
939,建设银行,"“1,000”",40a1100000000320
940,中国动物保健品,"“1,000”",40a1100000000321
941,中国移动,500,40a1100000000322
943,意科控股,"“8,000”",40a1100000000323
945,宏利金融-S,100,40a1100000000324
947,摩比发展,"“1,000”",40a1100000000325
948,融达控股,"“2,000”",40a1100000000326
950,李氏大药厂,500,40a1100000000327
951,超威动力,"“1,000”",40a1100000000328
952,华富国际,"“10,000”",40a1100000000329
953,邵氏兄弟控股,"“2,000”",40a110000000032a
954,常茂生物,"“4,000”",40a110000000032b
956,新天绿色能源,"“1,000”",40a110000000032c
958,华能新能源,"“2,000”",40a110000000032d
959,奥玛仕国际,"“2,000”",40a110000000032e
960,龙湖地产,500,40a110000000032f
963,华熙生物科技,"“2,500”",40a1100000000330
966,中国太平,200,40a1100000000331
967,桑德国际,"“1,000”",40a1100000000332
968,信义光能,"“2,000”",40a1100000000333
969,华联国际,"“2,000”",40a1100000000334
970,耀莱集团,"“8,000”",40a1100000000335
973,L'OCCITANE,250,40a1100000000336
974,中国顺客隆,"“1,000”",40a1100000000337
975,MONGOL MINING,500,40a1100000000338
976,齐合天地,"“2,000”",40a1100000000339
978,招商局置地,"“2,000”",40a110000000033a
979,绿色能源科技集团,"“2,000”",40a110000000033b
980,联华超市,"“1,000”",40a110000000033c
981,中芯国际,"“1,000”",40a110000000033d
982,卓智控股,"“20,000”",40a110000000033e
983,瑞安建业,"“2,000”",40a110000000033f
984,永旺,500,40a1100000000340
985,网智金控,"“8,000”",40a1100000000341
986,中国环保能源,"“20,000”",40a1100000000342
987,中国再生能源投资,"“2,000”",40a1100000000343
988,楼东俊安资源,"“3,000”",40a1100000000344
989,广泽地产,"“5,000”",40a1100000000345
990,荣晖国际,"“10,000”",40a1100000000346
991,大唐发电,"“2,000”",40a1100000000347
992,联想集团,"“2,000”",40a1100000000348
993,华融金控,"“1,000”",40a1100000000349
995,安徽皖通高速公路,"“2,000”",40a110000000034a
996,嘉年华国际,"“10,000”",40a110000000034b
997,普汇中金国际,"“10,000”",40a110000000034c
998,中信银行,"“1,000”",40a110000000034d
999,I.T,"“2,000”",40a110000000034e
1000,北青传媒,500,40a110000000034f
1001,沪港联合,"“2,000”",40a1100000000350
1002,威铖国际,"“4,000”",40a1100000000351
1003,欢喜传媒,"“10,000”",40a1100000000352
1004,中国智慧能源,"“2,000”",40a1100000000353
1005,MATRIX HOLDINGS,"“2,000”",40a1100000000354
1006,长寿花食品,"“1,000”",40a1100000000355
1007,大庆乳业,"“1,000”",40a1100000000356
1008,贵联控股,"“2,000”",40a1100000000357
1009,国际娱乐,"“2,000”",40a1100000000358
1010,太睿国际控股,"“2,000”",40a1100000000359
