地方债简称,地方债代码,到期日,UK
广东1401,109121,2019/6/24,4012559a00000100
广东1402,109122,2021/6/24,401255b200000101
广东1403,109123,2024/6/24,401255d600000102
地债1403,109124,2021/6/23,401255b200000103
地债1404,109125,2017/6/30,4.01256E+15
地债1405,109126,2019/6/30,4012559a00000105
山东1401,109127,2019/7/14,4012559b00000106
山东1402,109128,2021/7/14,401255b300000107
山东1403,109129,2024/7/14,401255d700000108
地债1406,109130,2017/7/15,4.01256E+15
地债1407,109131,2019/7/15,4012559b0000010a
地债1408,109132,2021/7/21,401255b30000010b
江苏1401,109133,2019/7/25,4012559b0000010c
江苏1402,109134,2021/7/25,401255b30000010d
江苏1403,109135,2024/7/25,401255d70000010e
江西1401,109136,2019/8/6,4012559c0000010f
江西1402,109137,2021/8/6,401255b400000110
江西1403,109138,2024/8/6,401255d800000111
宁夏1401,109139,2019/8/12,4012559c00000112
宁夏1402,109140,2021/8/12,401255b400000113
宁夏1403,109141,2024/8/12,401255d800000114
地债1409,109142,2017/8/18,4.01256E+15
地债1410,109143,2019/8/18,4012559c00000116
青岛1401,109144,2019/8/19,4012559c00000117
青岛1402,109145,2021/8/19,401255b400000118
青岛1403,109146,2024/8/19,401255d800000119
浙江1401,109147,2019/8/20,4012559c0000011a
浙江1402,109148,2021/8/20,401255b40000011b
浙江1403,109149,2024/8/20,401255d80000011c
北京1401,109150,2019/8/22,4012559c0000011d
北京1402,109151,2021/8/22,401255b40000011e
北京1403,109152,2024/8/22,401255d80000011f
上海1401,109153,2019/9/12,4012559d00000120
上海1402,109154,2021/9/12,401255b500000121
上海1403,109155,2024/9/12,401255d900000122
地债1411,109156,2017/9/16,4.01256E+15
地债1412,109157,2019/9/16,4012559d00000124
地债1413,109158,2021/9/25,401255b500000125
深圳1401,109159,2019/10/24,4.0126E+132
深圳1402,109160,2021/10/24,401255b600000127
深圳1403,109161,2024/10/24,401255da00000128
江苏1501,109162,2018/5/19,4012558d00000129
江苏1502,109163,2020/5/19,401255a50000012a
江苏1503,109164,2022/5/19,401255bd0000012b
江苏1504,109165,2025/5/19,401255e10000012c
新疆1501,109166,2018/5/22,4012558d0000012d
新疆1502,109167,2020/5/22,401255a50000012e
新疆1503,109168,2022/5/22,401255bd0000012f
新疆1504,109169,2025/5/22,401255e100000130
湖北1501,109170,2018/5/28,4012558d00000131
湖北1502,109171,2020/5/28,401255a500000132
湖北1503,109172,2022/5/28,401255bd00000133
湖北1504,109173,2025/5/28,401255e100000134
广西1501,109174,2018/5/29,4012558d00000135
广西1502,109175,2020/5/29,401255a500000136
广西1503,109176,2022/5/29,401255bd00000137
广西1504,109177,2025/5/29,401255e100000138
山东1501,109178,2018/6/1,4.0126E+145
山东1502,109179,2020/6/1,401255a60000013a
山东1503,109180,2022/6/1,401255be0000013b
山东1504,109181,2025/6/1,401255e20000013c
重庆1501,109182,2018/6/3,4012558e0000013d
重庆1502,109183,2020/6/3,401255a60000013e
重庆1503,109184,2022/6/3,401255be0000013f
重庆1504,109185,2025/6/3,401255e200000140
贵州1501,109186,2018/6/5,4.0126E+147
贵州1502,109187,2020/6/5,401255a600000142
贵州1503,109188,2022/6/5,401255be00000143
贵州1504,109189,2025/6/5,401255e200000144
安徽1501,109190,2018/6/8,4.0126E+151
安徽1502,109191,2020/6/8,401255a600000146
安徽1503,109192,2022/6/8,401255be00000147
安徽1504,109193,2025/6/8,401255e200000148
天津1501,109194,2018/6/9,4.0126E+155
天津1502,109195,2020/6/9,401255a60000014a
天津1503,109196,2022/6/9,401255be0000014b
天津1504,109197,2025/6/9,401255e20000014c
湖北1505,109198,2018/6/10,4012558e0000014d
湖北1506,109199,2020/6/10,401255a60000014e
湖北1507,109200,2022/6/10,401255be0000014f
湖北1508,109201,2025/6/10,401255e200000150
浙江1501,109202,2018/6/10,4.0126E+157
浙江1502,109203,2020/6/10,401255a600000152
浙江1503,109204,2022/6/10,401255be00000153
浙江1504,109205,2025/6/10,401255e200000154
河北1501,109206,2018/6/11,4.0126E+161
