企业债简称,企业债代码,到期日,UK
15金一债,112246,2018/5/15,4012258d000000cf
15华东债,112247,2020/5/19,401225a5000000d0
15翰宇01,112248,2020/5/19,401225a5000000d1
15博彦债,112249,2018/5/26,4012258d000000d2
15云旅债,112250,2018/6/1,4012258e000000d3
15恒运债,112251,2020/7/28,401225a7000000d4
15鄂能01,112252,2020/7/6,401225a7000000d5
15荣盛01,112253,2020/6/24,401225a6000000d6
15湘金01,112254,2018/6/24,4012258e000000d7
15濮耐01,112255,2020/7/22,401225a7000000d8
15天保01,112256,2020/7/21,401225a7000000d9
15荣盛02,112257,2019/7/28,4012259b000000da
15荣盛03,112258,2020/7/28,401225a7000000db
15甘电债,112259,2020/9/10,401225a9000000dc
15阳房01,112260,2020/7/30,401225a7000000dd
15互动债,112261,2020/11/25,401225ab000000de
15荣安债,112262,2020/8/7,401225a8000000df
15中房债,112263,2020/8/12,401225a8000000e0
15亚迪01,112264,2018/8/12,40122590000000e1
15中环债,112265,2020/8/13,401225a8000000e2
15利尔01,112266,2020/8/12,401225a8000000e3
15阳房02,112267,2020/8/12,401225a8000000e4
15东华01,112268,2020/8/12,401225a8000000e5
15涪陵01,112269,2020/8/12,401225a8000000e6
15华邦债,112270,2020/8/14,401225a8000000e7
15中粮01,112271,2020/8/17,401225a8000000e8
15金科01,112272,2020/8/28,401225a8000000e9
15金街01,112273,2021/8/20,401225b4000000ea
15金街02,112274,2025/8/20,401225e4000000eb
15搜特债,112275,2020/8/24,401225a8000000ec
15金鸿债,112276,2020/8/27,401225a8000000ed
15金街03,112277,2022/8/31,401225c0000000ee
15东莞债,112278,2020/9/10,401225a9000000ef
15渤租01,112279,2020/9/15,401225a9000000f0
15东华02,112280,2020/9/16,401225a9000000f1
15中洲债,112281,2018/9/21,40122591000000f2
15西部01,112282,2018/9/22,40122591000000f3
15西部02,112283,2020/9/22,401225a9000000f4
15渤租02,112284,2020/9/22,401225a9000000f5
15万科01,112285,2020/9/25,401225a9000000f6
15海伟01,112286,2020/10/15,401225aa000000f7
15海投债,112287,2018/10/20,40122592000000f8
15证通01,112288,2020/10/21,401225aa000000f9
15顺鑫02,112289,2020/10/26,401225aa000000fa
15证通02,112290,2020/10/30,401225aa000000fb
15渝外贸,112291,2020/11/11,401225ab000000fc
16冀中01,112292,2021/3/23,401225af000000fd
15深爱01,112293,2018/11/13,40122593000000fe
15海伟02,112294,2020/11/18,401225ab000000ff
15司尔债,112295,2020/11/19,401225ab00000100
15东北债,112296,2020/11/23,401225ab00000101
15粤科债,112297,2022/11/27,401225c300000102
15新证债,112298,2020/11/26,401225ab00000103
15中利债,112299,2020/11/30,401225ab00000104
15立业债,112300,2020/12/7,401225ac00000105
15中武债,112301,2022/12/7,401225c400000106
15东网债,112302,2018/12/9,4012259400000107
15京威债,112303,2017/12/10,4012258800000108
15长影01,112304,2020/12/11,401225ac00000109
15长影02,112305,2020/12/15,401225ac0000010a
15泛控01,112306,2020/12/21,401225ac0000010b
15投资01,112307,2023/12/22,401225d00000010c
15银亿01,112308,2020/12/24,401225ac0000010d
