期货名称,交易代码,合约编码,uk编码
中国海洋石油有限公司,CNC,CNC1609,410a15790000004c
华能国际电力股份有限公司,HNP,HNP1609,410a15790000004d
中国建设银行股份有限公司,CCB,CCB1609,410a15790000004e
中国移动有限公司,CHT,CHT1609,410a15790000004f
中国工商银行股份有限公司,ICB,ICB1609,410a157900000050
中国交通建设股份有限公司,CCC,CCC1609,410a157900000051
富智康集团有限公司,FIH,FIH1609,410a157900000052
中国平安保险(集团)股份有限公司,PAI,PAI1609,410a157900000053
中国人民财产保险股份有限公司,PIC,PIC1609,410a157900000054
中银香港(控股)有限公司,BOC,BOC1609,410a157900000055
中国铝业股份有限公司,ALC,ALC1609,410a157900000056
中国人寿保险股份有限公司,CLI,CLI1609,410a157900000057
交通银行股份有限公司,BCM,BCM1609,410a157900000058
招商银行股份有限公司,CMB,CMB1609,410a157900000059
中国银行股份有限公司,BCL,BCL1609,410a15790000005a
美元兑人民币（香港期货）,CUS,CUS1609,410a15790000005b
欧元兑人民币（香港）期货,CEU,CEU1609,410a15790000005c
日圆对人民币（香港）期货,CJP,CJP1609,410a15790000005d
澳元兑人民币（香港）期货,CAU,CAU1609,410a15790000005e
人民币（香港）兑美元期货,UCN,UCN1609,410a15790000005f
一个月港元利率期货,HB1,HB11609,410a157900000060
三个月港元利率期货,HB3,HB31609,410a157900000061
恒生指数期货,HIS,HIS1610,410a157100000001
H股指数期货,HHI,HHI1610,410a157100000002
小型恒生指数期货,MHI,MHI1610,410a157100000003
恒生股息期货,DHS,DHS1610,410a157100000004
恒生国企股息期货,DHH,DHH1610,410a157100000005
恒指波幅指数期货,VHS,VHS1610,410a157100000006
中华交易服务中国120指数期货,CHH,CHH1610,410a157100000007
IBOVESPA期货,IBOVESPA,IBOVESPA1610,410a157100000008
MICEX指数期货,MICEX,MICEX1610,410a157100000009
S&PBSESENSEX指数期货,S&PBSESENSEX,S&PBSESENSEX1610,410a15710000000a
FTSE/JSETop40期货,FTSE/JSETop40,FTSE/JSETop401610,410a15710000000b
中华交易服务博彩业指数期货,GTI,GTI1610,410a15710000000c
恒生中国内地石油及天然气指数期货,MOI,MOI1610,410a15710000000d
恒生中国内地银行指数期货,MBI,MBI1610,410a15710000000e
恒生中国内地医疗保健指数期货,MCI,MCI1610,410a15710000000f
恒生中国内地地产指数期货,MPI,MPI1610,410a157100000010
恒生软件服务指数期货,SSI,SSI1610,410a157100000011
保利置业集团有限公司,POL,POL1610,410a157100000012
SOHO中国有限公司,SOH,SOH1610,410a157100000013
国美电器,GOM,GOM1610,410a157100000014
复星国际有限公司,FOS,FOS1610,410a157100000015
腾讯控股有限公司,TCH,TCH1610,410a157100000016
神州数码控股有限公司,DIG,DIG1610,410a157100000017
中信银行股份有限公司,CTB,CTB1610,410a157100000018
中国南方航空股份有限公司,SOA,SOA1610,410a157100000019
阿里巴巴影业集团有限公司,ALI,ALI1610,410a15710000001a
中国神华能源股份有限公司,CSE,CSE1610,410a15710000001b
兖州煤业股份有限公司,YZC,YZC1610,410a15710000001c
中国农业银行股份有限公司,ABC,ABC1610,410a15710000001d
新华人寿保险股份有限公司,NCL,NCL1610,410a15710000001e
中国信达资产管理股份有限公司,CDA,CDA1610,410a15710000001f
中国宏桥集团有限公司,CHQ,CHQ1610,410a157100000020
华南城控股有限公司,CTY,CTY1610,410a157100000021
中国中车股份有限公司,CRR,CRR1610,410a157100000022
中国广核电力股份有限公司,CGN,CGN1610,410a157100000023
中国中煤能源股份有限公司,CCE,CCE1610,410a157100000024
融创中国控股有限公司,SUN,SUN1610,410a157100000025
中国民生银行股份有限公司,MSB,MSB1610,410a157100000026
广州汽车集团股份有限公司,GAC,GAC1610,410a157100000027
长城汽车股份有限公司,GWM,GWM1610,410a157100000028
中国航空科技工业股份有限公司,AVI,AVI1610,410a157100000029
CSOP富时中国A50 ETF,CSA,CSA1610,410a15710000002a
iShares 安硕富时 A50 中国指數ETF,A50,A501610,410a15710000002b
中海油田服务股份有限公司,CHO,CHO1610,410a15710000002c
紫金矿业集团股份有限公司,ZJM,ZJM1610,410a15710000002d
华夏沪深300指数ETF,AMC,AMC1610,410a15710000002e
恒大地产集团有限公司,EVG,EVG1610,410a15710000002f
金山软件有限公司,KSO,KSO1610,410a157100000030
中信证券股份有限公司,CTS,CTS1610,410a157100000031
海通证券股份有限公司,HAI,HAI1610,410a157100000032
中国辉山乳业控股有限公司,HUD,HUD1610,410a157100000033
华泰证券股份有限公司,HTS,HTS1610,410a157100000034
长江和记实业有限公司,CKH,CKH1610,410a157100000035
中电控股有限公司,CLP,CLP1610,410a157100000036
香港中华煤气有限公司,HKG,HKG1610,410a157100000037
九龙仓集团有限公司,WHL,WHL1610,410a157100000038
汇丰控股有限公司,HKB,HKB1610,410a157100000039
电能实业有限公司,HEH,HEH1610,410a15710000003a
恒生银行有限公司,HSB,HSB1610,410a15710000003b
恒基兆业地产有限公司,HLD,HLD1610,410a15710000003c
新鸿基地产发展有限公司,SHK,SHK1610,410a15710000003d
新世界发展有限公司,NWD,NWD1610,410a15710000003e
太古股份有限公司'A',SWA,SWA1610,410a15710000003f
东亚银行有限公司,BEA,BEA1610,410a157100000040
香港铁路有限公司,MTR,MTR1610,410a157100000041
中国中信股份有限公司,CIT,CIT1610,410a157100000042
国泰航空有限公司,CPA,CPA1610,410a157100000043
思捷环球控股有限公司,ESP,ESP1610,410a157100000044
中国石油化工股份有限公司,CPC,CPC1610,410a157100000045
香港交易及结算所有限公司,HEX,HEX1610,410a157100000046
利丰有限公司,LIF,LIF1610,410a157100000047
中国电信股份有限公司,CTC,CTC1610,410a157100000048
中国联合网络通信（香港）股份有限公司,CHU,CHU1610,410a157100000049
中国石油天然气股份有限公司,PEC,PEC1610,410a15710000004a
广州白云山医药集团股份有限公司,BAI,BAI1610,410a15710000004b
中国海洋石油有限公司,CNC,CNC1610,410a15710000004c
华能国际电力股份有限公司,HNP,HNP1610,410a15710000004d
中国建设银行股份有限公司,CCB,CCB1610,410a15710000004e
中国移动有限公司,CHT,CHT1610,410a15710000004f
中国工商银行股份有限公司,ICB,ICB1610,410a157100000050
中国交通建设股份有限公司,CCC,CCC1610,410a157100000051
富智康集团有限公司,FIH,FIH1610,410a157100000052
中国平安保险(集团)股份有限公司,PAI,PAI1610,410a157100000053
中国人民财产保险股份有限公司,PIC,PIC1610,410a157100000054
中银香港(控股)有限公司,BOC,BOC1610,410a157100000055
中国铝业股份有限公司,ALC,ALC1610,410a157100000056
中国人寿保险股份有限公司,CLI,CLI1610,410a157100000057
交通银行股份有限公司,BCM,BCM1610,410a157100000058
招商银行股份有限公司,CMB,CMB1610,410a157100000059
中国银行股份有限公司,BCL,BCL1610,410a15710000005a
美元兑人民币（香港期货）,CUS,CUS1610,410a15710000005b
欧元兑人民币（香港）期货,CEU,CEU1610,410a15710000005c
日圆对人民币（香港）期货,CJP,CJP1610,410a15710000005d
澳元兑人民币（香港）期货,CAU,CAU1610,410a15710000005e
人民币（香港）兑美元期货,UCN,UCN1610,410a15710000005f
一个月港元利率期货,HB1,HB11610,410a157100000060
三个月港元利率期货,HB3,HB31610,410a157100000061
恒生指数期货,HIS,HIS1611,410a157b00000001
H股指数期货,HHI,HHI1611,410a157b00000002
小型恒生指数期货,MHI,MHI1611,410a157b00000003
恒生股息期货,DHS,DHS1611,410a157b00000004
恒生国企股息期货,DHH,DHH1611,410a157b00000005
恒指波幅指数期货,VHS,VHS1611,410a157b00000006
中华交易服务中国120指数期货,CHH,CHH1611,410a157b00000007
IBOVESPA期货,IBOVESPA,IBOVESPA1611,410a157b00000008
MICEX指数期货,MICEX,MICEX1611,410a157b00000009
S&PBSESENSEX指数期货,S&PBSESENSEX,S&PBSESENSEX1611,410a157b0000000a
FTSE/JSETop40期货,FTSE/JSETop40,FTSE/JSETop401611,410a157b0000000b
中华交易服务博彩业指数期货,GTI,GTI1611,410a157b0000000c
恒生中国内地石油及天然气指数期货,MOI,MOI1611,410a157b0000000d
恒生中国内地银行指数期货,MBI,MBI1611,410a157b0000000e
恒生中国内地医疗保健指数期货,MCI,MCI1611,410a157b0000000f
恒生中国内地地产指数期货,MPI,MPI1611,410a157b00000010
恒生软件服务指数期货,SSI,SSI1611,410a157b00000011
保利置业集团有限公司,POL,POL1611,410a157b00000012
SOHO中国有限公司,SOH,SOH1611,410a157b00000013
国美电器,GOM,GOM1611,410a157b00000014
复星国际有限公司,FOS,FOS1611,410a157b00000015
腾讯控股有限公司,TCH,TCH1611,410a157b00000016
神州数码控股有限公司,DIG,DIG1611,410a157b00000017
中信银行股份有限公司,CTB,CTB1611,410a157b00000018
中国南方航空股份有限公司,SOA,SOA1611,410a157b00000019
阿里巴巴影业集团有限公司,ALI,ALI1611,410a157b0000001a
中国神华能源股份有限公司,CSE,CSE1611,410a157b0000001b
兖州煤业股份有限公司,YZC,YZC1611,410a157b0000001c
中国农业银行股份有限公司,ABC,ABC1611,410a157b0000001d
新华人寿保险股份有限公司,NCL,NCL1611,410a157b0000001e
