uk,股票代码,uk(16进制)
000933.SZ,神火股份,4011100000000232
000935.SZ,四川双马,4011100000000233
000936.SZ,华西股份,4011100000000234
000937.SZ,冀中能源,4011100000000236
000938.SZ,紫光股份,4011100000000237
000939.SZ,凯迪生态,4011100000000238
000948.SZ,南天信息,4011100000000239
000949.SZ,新乡化纤,401110000000023a
000950.SZ,建峰化工,401110000000023b
000951.SZ,中国重汽,401110000000023c
000952.SZ,广济药业,401110000000023d
000953.SZ,河池化工,401110000000023e
000955.SZ,欣龙控股,401110000000023f
000957.SZ,中通客车,4011100000000241
000958.SZ,东方能源,4011100000000242
000959.SZ,首钢股份,4011100000000243
000960.SZ,锡业股份,4011100000000245
000961.SZ,中南建设,4011100000000246
000962.SZ,东方钽业,4011100000000247
000963.SZ,华东医药,4011100000000248
000965.SZ,天保基建,4011100000000249
000966.SZ,长源电力,401110000000024a
000967.SZ,盈峰环境,401110000000024b
000968.SZ,*ST煤气,401110000000024c
000969.SZ,安泰科技,401110000000024d
000970.SZ,中科三环,401110000000024e
000971.SZ,高升控股,401110000000024f
000972.SZ,新中基,4011100000000250
000973.SZ,佛塑科技,4011100000000251
000975.SZ,银泰资源,4011100000000252
000976.SZ,春晖股份,4011100000000253
000977.SZ,浪潮信息,4011100000000254
000978.SZ,桂林旅游,4011100000000255
000979.SZ,中弘股份,4011100000000256
000980.SZ,金马股份,4011100000000257
000981.SZ,银亿股份,4011100000000258
000982.SZ,中银绒业,4011100000000259
000983.SZ,西山煤电,401110000000025a
000985.SZ,大庆华科,401110000000025b
000987.SZ,广州友谊,401110000000025c
000988.SZ,华工科技,401110000000025d
000989.SZ,九 芝 堂,401110000000025e
000990.SZ,诚志股份,401110000000025f
000993.SZ,闽东电力,4011100000000261
000995.SZ,*ST皇台,4011100000000262
000996.SZ,中国中期,4011100000000263
000997.SZ,新 大 陆,4011100000000264
000998.SZ,隆平高科,4011100000000265
000999.SZ,华润三九,4011100000000266
001696.SZ,宗申动力,4011100000000174
001896.SZ,豫能控股,401110000000020d
001979.SZ,招商蛇口,401110000000ffbf
002001.SZ,新 和 成,4011100000000267
002002.SZ,鸿达兴业,4011100000000a72
002003.SZ,伟星股份,4011100000000a74
002004.SZ,华邦健康,4011100000000a76
002005.SZ,德豪润达,4011100000000a78
002006.SZ,精功科技,4011100000000a7a
002007.SZ,华兰生物,4011100000000a7c
002008.SZ,大族激光,4011100000000a7e
002009.SZ,天奇股份,4011100000000a80
002010.SZ,传化股份,4011100000000a82
002011.SZ,盾安环境,4011100000000a84
002012.SZ,凯恩股份,4011100000000a86
002013.SZ,中航机电,4011100000000a88
002014.SZ,永新股份,4011100000000a8a
002015.SZ,霞客环保,4011100000000a8c
002016.SZ,世荣兆业,4011100000000a8e
002017.SZ,东信和平,4011100000000a53
002018.SZ,华信国际,4011100000000a91
002019.SZ,亿帆鑫富,4011100000000a93
002020.SZ,京新药业,4011100000000a95
002021.SZ,中捷资源,4011100000000a97
002022.SZ,科华生物,4011100000000a99
002023.SZ,海特高新,4011100000000a9b
002024.SZ,苏宁云商,4011100000000a9d
002025.SZ,航天电器,4011100000000a9f
002026.SZ,山东威达,4011100000000aa1
002027.SZ,七喜控股,4011100000000aa3
002028.SZ,思源电气,4011100000000aa5
002029.SZ,七 匹 狼,4011100000000aa7
002030.SZ,达安基因,4011100000000aa9
002031.SZ,巨轮智能,4011100000000aab
002032.SZ,苏 泊 尔,4011100000000aad
002033.SZ,丽江旅游,4011100000000aaf
002034.SZ,美 欣 达,4011100000000ab1
002035.SZ,华帝股份,4011100000000ab3
002036.SZ,联创电子,4011100000000ab5
002037.SZ,久联发展,4011100000000ab7
002038.SZ,双鹭药业,4011100000000ab9
002039.SZ,黔源电力,4011100000000bf6
002040.SZ,南 京 港,4011100000000c09
002041.SZ,登海种业,4011100000000c2e
002042.SZ,华孚色纺,4011100000000c3e
002043.SZ,兔 宝 宝,4011100000000c40
002044.SZ,美年健康,4011100000000c4f
002045.SZ,国光电器,4011100000000c55
002046.SZ,轴研科技,4011100000000ca2
002047.SZ,宝鹰股份,4011100000000cac
002048.SZ,宁波华翔,4011100000000cb0
002049.SZ,同方国芯,4011100000000cb4
002050.SZ,三花股份,4011100000000cda
002051.SZ,中工国际,40111000000010e6
002052.SZ,同洲电子,40111000000010fb
002053.SZ,云南盐化,40111000000010ff
002054.SZ,德美化工,4011100000001132
002055.SZ,得润电子,4011100000001147
002056.SZ,横店东磁,401110000000114b
002057.SZ,中钢天源,4011100000001153
002058.SZ,威 尔 泰,4011100000001155
002059.SZ,云南旅游,401110000000115c
002060.SZ,粤 水 电,401110000000116b
002061.SZ,*ST江化,401110000000118d
002062.SZ,宏润建设,4011100000001191
002063.SZ,远光软件,4011100000001193
002064.SZ,华峰氨纶,4011100000001197
002065.SZ,东华软件,401110000000119a
002066.SZ,瑞泰科技,401110000000119f
002067.SZ,景兴纸业,40111000000011d9
002068.SZ,黑猫股份,40111000000011dc
002069.SZ,獐 子 岛,40111000000011f2
002070.SZ,众和股份,40111000000011fc
002071.SZ,长城影视,4011100000001207
002072.SZ,凯瑞德,401110000000120b
002073.SZ,软控股份,401110000000124f
002074.SZ,国轩高科,401110000000125b
002075.SZ,沙钢股份,4011100000001271
002076.SZ,雪 莱 特,4011100000001272
002077.SZ,大港股份,40111000000012a6
002078.SZ,太阳纸业,40111000000012a4
002079.SZ,苏州固锝,40111000000012a3
002080.SZ,中材科技,40111000000012b7
002081.SZ,金 螳 螂,40111000000012b8
002082.SZ,栋梁新材,40111000000012b9
002083.SZ,孚日股份,40111000000012cc
002084.SZ,海鸥卫浴,40111000000012cd
002085.SZ,万丰奥威,40111000000012cf
002086.SZ,东方海洋,40111000000012d0
002087.SZ,新野纺织,40111000000012e1
002088.SZ,鲁阳节能,40111000000012e2
002089.SZ,新 海 宜,40111000000012e3
002090.SZ,金智科技,40111000000012f3
002091.SZ,江苏国泰,40111000000012f4
002092.SZ,中泰化学,40111000000012f5
002093.SZ,国脉科技,401110000000130d
002094.SZ,青岛金王,401110000000130c
002095.SZ,生 意 宝,401110000000130b
